,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
No.,リンクID,長さ,幅（最少値）,歩道の有無,歩行者数,,庇,素材,MH/HH,,,グレーチング,,,点字B,街灯,,,電気ボックス,,,街路樹,,,移動できる障害物,,,移動できない障害物,,,電柱,,,標識,,,整備不良,,,Goproタイム,,,,,,,,
,,,,,平日,休日,,,700,1400,全部,700,1400,全部,,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,700,1400,全部,,腕橈骨筋（ＲＴ）,上腕二頭筋（ＲＴ）,上腕三頭筋（ＲＴ）,三角筋（ＲＴ）,腕橈骨筋（ＬＴ）,上腕二頭筋（ＬＴ）,上腕三頭筋（ＬＴ）,三角筋（ＬＴ）
1,0-1,8439.129,3315,1,0,0,0,3,2,5,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,210.77,173.75,424.17,819.52,315.17,398.32,631.5,512.51
2,1-0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,232.76,182.01,316.56,727.05,463.29,421.06,630.33,525.4
3,0-2,45890.538,3131.8,1,3,2,0,3,4,9,14,0,0,0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,1,4,0,0,4,0,0,1,0,0,0,40,975.04,838.4,1597.71,4037.63,1516.9,2534.18,3559.36,2871.26
4,2-0,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,902.8,851.99,1485.86,3452.23,1797.74,2426.07,3799.41,3305.35
5,2-3,7063.885,4500,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6,3-2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
7,3-4,52499.086,3623.4,1,4,3,0,3,2,4,8,0,0,0,0,0,0,4,0,0,1,0,3,3,0,0,6,0,1,6,0,0,1,0,0,2,0,0,0,42,936.68,862.7,1531.63,4541.12,1716.17,2845.87,2384.11,2802.69
8,4-3,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1328.34,1052.56,2543.54,5066.96,2713.52,4112.14,3838.09,4061.77
9,4-5,6870.296,4500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
10,5-4,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
11,5-6,7174.645,4500,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1953.08,1909.64,3714.63,11394.65,3111.26,3993.14,6074.91,6328.81
12,6-5,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2965.98,2242.93,5183.19,8808.96,4722.06,6738.85,8946.04,9335.02
13,6-7,2046.779,4500,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
14,7-6,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
15,6-10,33332.301,3588.1,1,3,0,0,3,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,1,0,0,2,0,0,1,0,0,0,27,1953.08,1909.64,3714.63,11394.65,3111.26,3993.14,6074.91,6328.81
16,10-6,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,2965.98,2242.93,5183.19,8808.96,4722.06,6738.85,8946.04,9335.02
